Data of Tweet,Tweet Content
2022-05-04 23:46:29+00:00,"https://t.co/ZpPOxgrJOe

Ayaaan! Military na mismo nagsabing hindi. Maliban sa mali ang red tagging, especially na walang katotohanan ang kay red tagging nila Kay Leni dahil never din silang nagkaroon ng supporting details sa claim nilang 'to. Clearly Black Propaganda lang. https://t.co/HLWjE3B4aC"
2022-05-04 23:46:21+00:00,"on the transportation sector, and use available technology to improve services and communication.

While VP Leni Robredo promises to provide 216 billion for ayuda on her first 100 days, BBM responds to NEDA's four areas of focus. See the difference?"
2022-05-04 23:46:11+00:00,@kikopangilinan @PinoyAkoBlog @donny @bellemariano02 @donnypangilinan po dapat. And we believe in your accomplishments and your plans for the country Senator! Be the next president after President Leni Robredo. #LeniKikoAllTheWay
2022-05-04 23:46:07+00:00,"Madame Leni Robredo will be holding her miting de avance on Saturday, May 7, at Ayala Ave cor Makati Ave , Makati City.  #LeniKiko2022 https://t.co/UJ8s81apWN"
2022-05-04 23:45:51+00:00,WHEN LENI ROBREDO WINS THE GAYS CAN HAVE CIVIL UNIONS
2022-05-04 23:45:51+00:00,"10 LENI ROBREDO FOR President
7 KIKO PANGILINAN FOR Vice President
For Senators:
4 Teddy Baguilat
16 Neri Colmenares
18 Leila de Lima
21 Chel Diokno
26 Luke Espiritu
34 Risa Hontiveros
37 Elmer Labog
38 Alex Lacson
45 Sonny Matula
58 Antonio Trillanes
63 Carmen Zubiaga

#LeniKiko"
2022-05-04 23:45:12+00:00,"Hindi niya kinikilala ang desisyon tungkol sa pagkatalo niya noon. Hindi rin niya balak bayaran ang lumulobong tax niya. 

Anti-Filipino talaga ang mga Marcos. Gusto yata ni Bongbong paglingkuran siya ng taumbayan.

#NeverAgain https://t.co/3zLNQmPfMR"
2022-05-04 23:44:48+00:00,"Sa Gobyernong Tapat, Angat Buhay Lahat!

Ako si Wang Nanjun, isang simpleng tao ay nakikiisa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan. Tara, samahan ninyo na ipanalo ito para sa lahat!

#LetLeniKikoLead
#LeniKiko2022
#KulayRosasAngBukas
#NowUnited https://t.co/Iw6or4XqBV"
2022-05-04 23:44:31+00:00,@justanonionhere @wikibenj @ray_gavreel Sinbi ni leni na mahirap na bayan ang ilocos rizal pampanga bulacan nueva icija pangasinan etc sa london school of economics imagine sinisiraan ni leni robredo ang sarili nyang bansa tapos iboboto mo upon checking hind mahirap ang ilocos rizal ikaw check mo din magkalaman ka namn
2022-05-04 23:44:24+00:00,Court records show Bongbong Marcos did not pay penalty in tax evasion case — petitioners | Inquirer News https://t.co/tb4X96GpUv
2022-05-04 23:44:03+00:00,"Pumili ng tama lagi’t lagi para sa bayan 🌸Kapag sinayang nati  ang isang Leni Robredo, tayo lang ang matatalo. Kaya tara, #Ipana7oNa10ParaSaLahat https://t.co/fPHwHoBgcA"
2022-05-04 23:43:03+00:00,You know what convinced me to support Bongbong Marcos for President? His promise to continue the Build Build Build projects and the social development programs of the Duterte administration.
2022-05-04 23:42:01+00:00,"Will Sec Norberto Gonzales increase the budget for national defense? 🌹💙

""Ang pag gastos ay depende sa Defense Policy"" -NBG https://t.co/z2a6QY6OdX"
2022-05-04 23:41:09+00:00,You know what convinced me to support Bongbong Marcos for President? His promise to continue the Build Build Build projects and the social development programs of the Duterte administration.
2022-05-04 23:40:18+00:00,"Siguro kaya kalmado lang si VP Leni kahit palapit na ang May 9, kasi buong tao siya bago siya pumasok sa eleksyon na 'to. Hindi 'yung posisyon ang mag-dedefine ng pagkatao niya. Manalo o matalo siya, siya pa rin si Leni Robredo."
2022-05-04 23:40:00+00:00,"Senatorial bets supporting Robredo-Pangilinan thank Leody, Walden Bello https://t.co/cMc63ooQTk"
2022-05-04 23:39:57+00:00,The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/I19wAgTDO5 via @ABCaustralia
2022-05-04 23:39:32+00:00,"owner of a small business, freelance events host, insurer, at kaming dalawa ng aking butihing ina ay nakikiisa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap……"
2022-05-04 23:38:39+00:00,"IT'S OFFICIAL

LOOK: Vice President Leni Robredo and Sen. Kiko Pangilinan's miting de avance will be on Ayala Avenue, Makati City. 

Last push before the May 9 elections. Program will start at 5 p.m. #VotePH #OurVoteOurFuture | via Krixia Subingsubing, Philippine Daily Inquirer"
2022-05-04 23:37:20+00:00,You know what convinced me to support Bongbong Marcos for President? His promise to continue the Build Build Build projects and the social development programs of the Duterte administration.
2022-05-04 23:37:12+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!""

Ako si Jojo isang Cute, nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap.

#LeniKikoAllTheWay2022 
#Carats4LeniKiko https://t.co/qPaa1LBtUj"
2022-05-04 23:36:46+00:00,‘Authoritarian nostalgia’: Philippines seems set to return Marcoses to power BONGBONG MUST NEVER BE ELECTED THE MARCOS FAMILY WILL PLUNDER THE PHILIPPINES WEALTH https://t.co/2PjTRbP9C7
2022-05-04 23:36:38+00:00,"Unprecedented?!? Leni Robredo!
Bise precedented!?! Kiko Pangilinan!
Char. https://t.co/vnhAo9xuVl"
2022-05-04 23:36:29+00:00,JUST IN: A total of 260 Filipino graduates of Australian universities and higher education institutions added their voices in supporting the candidacies of VP Leni Robredo and Senator Kiko Pangilinan. | @tinaarceodumlao #VotePH https://t.co/cfvR82SC7k
2022-05-04 23:36:16+00:00,"The reason why a second Kakampink rally in CDO is no longer possible: local politicians who support Leni but are against each other 👇 #altercdo #cdoalter #LeniKiko2022
https://t.co/HiyLjFr49L"
2022-05-04 23:36:04+00:00,"@KerenGraine hahaha uu nga! naalala ko may list nga pala sinend sa group ng Team Leni Robredo UK, buti na check ko din, may time pa!!"
2022-05-04 23:35:09+00:00,"IT'S OFFICIAL

LOOK: Vice President Leni Robredo and Sen. Kiko Pangilinan's miting de avance will be on Ayala Avenue, Makati City. 

Last push before the May 9 elections. Program will start at 5 p.m. #VotePH #OurVoteOurFuture | via Krixia Subingsubing, Philippine Daily Inquirer"
2022-05-04 23:34:42+00:00,Buti akong Ping Lacson smooth lang sa gedli😂
2022-05-04 23:34:25+00:00,"4days to go let’s vote for 
#7 Marcos, BongBong
#4 Duterte,Sara sa Balota ❤️💚
Salamat po!

#BBMFORPRESIDENT2022 #BBMSaraUNITEAM #BBMIsMyPresident2022 https://t.co/Tmb0M0Arns"
2022-05-04 23:33:48+00:00,"Good morning, Love! 🌸
Apat na araw nalang pala at may bago ng Pangulo, sya si Leni Robredo. 

Kulay rosas na ang magiging bukas!"
2022-05-04 23:33:34+00:00,"Bongbong Marcos, historical baggage and a race for the Philippine presidency - CNA ( CNA: Breaking News, Singapore News, World and Asia https://t.co/SyAs2hFAKl)"
2022-05-04 23:33:16+00:00,"@iamwhatiam300 Kung pagiging anak sa magulang ang usaoan,  maganda din yung Be a Bongbong Marcos in a world full of Leni Robredo..yun bang sa panahon ngayon,  alam ko kng sinong tatay ang proud sa nggawa ng anak..Who lived out their legacies."
2022-05-04 23:32:59+00:00,Ang KAPAL talaga Ng MUKHA Ng mga Villafuerte. Eto pala mga nakalaban ni President Leni Robredo dati pero natalo nya grabe. Dapat PALITAN NA MGA YAN! https://t.co/FMlJzaJNp7
2022-05-04 23:32:33+00:00,"@jaicabajar Ang Presidente?? ✨LENI ROBREDO !!✨

Bise-presidente?? ✨KIKO PANGILINAN !!✨

LEZZGOWW !! 👏🏽🙆🏽‍♂️🙅🏽‍♂️🤷🏽‍♂️💁🏽‍♂️🤸🏽‍♂️🕺🏽🌸"
2022-05-04 23:32:25+00:00,"Mayoral candidate of Manila, Amado Bagatsing will be endorsing our future President Leni Robredo... 🌷🌸"
